network,location_idx,alpha,beta,extinction_prob,mean_activity,amplitude,period,Q,RI,RI_max,frac_rhythmic,class,n_survivors,n_total
net_A,0,0.0023713737056616,0.55,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.6,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.65,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.7,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.75,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.8,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.85,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.9,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,0.95,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0023713737056616,1.0,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.05,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.1,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.15,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.2,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.25,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.3,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.35,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.4,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.45,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.5,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.55,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.6,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.65,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.7,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.75,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.8,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.85,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.9,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,0.95,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0031622776601683,1.0,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.05,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.1,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.15,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.2,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.25,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.3,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.35,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.4,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.45,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.5,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.55,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.6,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.65,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.7,1.0,,,,,,,,EXTINCT,,10
