constant,default,multiplier,value,ordering_valid,n,eo_mean,ec_mean,dz,t,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,dz_norej,p_norej,n_up_norej,rho_Q_RI,top1_frac_below2,frac_label_changed,rank_corr_vs_base,frac_rhythmic,exemplar_RI,comparison_RI,maxQ_RI,all_conclusions_hold
t_c,0.5,0.5,0.25,False,15,1.1782450229627757,1.9116287537152004,1.4394022049037982,5.574780768086646,6.846394424222167e-05,15,0.4944649446494465,0.031914893617021274,1.5044080265287583,1.9817397205412364e-06,20,7.913517929683131e-05,1.0,0.03534930474116267,0.9963176635111357,0.07999664935500084,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.55,0.275,False,15,1.1782450229627757,1.9088119135288768,1.4299335711061938,5.538108907077188,7.308355042298199e-05,15,0.4907749077490775,0.031914893617021274,1.4956157924518205,2.146425765751567e-06,20,-0.0016911848885160555,1.0,0.02286815211928296,0.9973817141819585,0.06751549673312113,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.6,0.3,False,15,1.1782450229627757,1.907689983001679,1.4283819693801454,5.532099579432256,7.387103074120588e-05,15,0.4907749077490775,0.031914893617021274,1.4959357376211277,2.1401918040023414e-06,20,-0.0031000924662845154,1.0,0.013402579996649355,0.998473827462059,0.05804992461048752,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.65,0.325,True,15,1.1782450229627757,1.9076107800361541,1.4282973990141494,5.531772039813171,7.391420601052827e-05,15,0.4907749077490775,0.031914893617021274,1.4969017738409127,2.1214822842733816e-06,20,-0.004001171588138355,1.0,0.007455185123136204,0.9991685142670852,0.052102529736974365,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.7,0.35,True,15,1.1782450229627757,1.9076107800361541,1.4282973990141494,5.531772039813171,7.391420601052827e-05,15,0.4907749077490775,0.031914893617021274,1.4983548843487553,2.093656908117647e-06,20,-0.004423155030625024,1.0,0.0038532417490366897,0.9995716456426668,0.048500586362874853,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.75,0.375,True,15,1.1782450229627757,1.9074486490356284,1.4279412071466966,5.530392514642471,7.409633983612261e-05,15,0.4907749077490775,0.031914893617021274,1.500176791791803,2.0593010542641025e-06,20,-0.0047204128346010656,1.0,0.0017590886245602278,0.9998234065701436,0.04640643323839839,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.8,0.4,True,15,1.1782450229627757,1.906830239155986,1.4259084476392878,5.522519670923433,7.514475942789019e-05,15,0.4907749077490775,0.031914893617021274,1.5001861350379888,2.059126376132588e-06,20,-0.004728719556737226,1.0,0.0009214273747696431,0.9998943420740228,0.04556877198860781,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.85,0.425,True,15,1.1782450229627757,1.9044612644241876,1.4162466288494815,5.485099607656439,8.034368364749361e-05,15,0.4870848708487085,0.031914893617021274,1.4918770003413175,2.2206792742972393e-06,20,-0.004841855297724107,1.0,0.0003350644999162339,0.9999634653696395,0.044982409113754396,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.9,0.45,True,15,1.1782450229627757,1.9044612644241876,1.4162466288494815,5.485099607656439,8.034368364749361e-05,15,0.4870848708487085,0.031914893617021274,1.4918770003413175,2.2206792742972393e-06,20,-0.004902385658969698,1.0,8.376612497905847e-05,0.9999853596404995,0.04473111073881722,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_c,0.5,0.95,0.475,True,15,1.1782450229627757,1.9044612644241876,1.4162466288494815,5.485099607656439,8.034368364749361e-05,15,0.4870848708487085,0.031914893617021274,1.4918770003413175,2.2206792742972393e-06,20,-0.004841888292618622,1.0,0.0,1.0,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
