scale,m_t_c,m_t_cw,m_t_r,m_t_rw,m_t_min,dz,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,rho,top1,exemplar_RI,comparison_RI,frac_label_changed,hold,eeg_hold
0.1,0.4702281290243182,0.3136643640649547,0.43083219613798773,0.18603883085798745,0.0918823198724486,1.3449329040542308,0.00013241313562871457,15,0.44649446494464945,0.010638297872340425,0.02687211532994079,1.0,2.279525246878106,1.3878965896053679,0.032417490366895625,True,True
0.1,0.5231615051307102,0.3061265733706305,0.3710303189428291,0.21891076153789155,0.09836989222419518,1.4493699154050572,6.392870324539508e-05,15,0.5645756457564576,0.06382978723404255,-0.04435210878409657,1.0,2.4857564031349075,1.2797416373159471,0.029318143742670465,True,True
0.1,0.535646419139974,0.32886038789108846,0.39793480117871627,0.20226339338957008,0.09122043650433315,1.371615350237155,0.00010970515779809112,15,0.4944649446494465,0.031914893617021274,0.003173564507120606,1.0,2.385304000790117,1.3345146692184158,0.025046071368738484,True,True
0.1,0.5267506884375792,0.3086447236022956,0.39413721564366216,0.183302734296114,0.09979623011331402,1.4191481988289987,7.874410141151809e-05,15,0.5055350553505535,0.031914893617021274,0.03467713997364864,1.0,2.39865166304135,1.3968988717040456,0.012481152621879711,True,True
0.1,0.45489067428814123,0.32367416322962017,0.3731220902171666,0.20155514736913316,0.0905565703726896,1.3906737416895254,9.599481878099846e-05,15,0.5535055350553506,0.06382978723404255,-0.004681755619797092,1.0,2.4578356355613096,1.3368449343706348,0.03392528061651868,True,True
0.1,0.5114915776966807,0.30749494351749485,0.3757417410362007,0.18439195568477856,0.10376528233875607,1.449117671890696,6.403951902155315e-05,15,0.5498154981549815,0.06382978723404255,0.03240459004449993,1.0,2.4671265178211446,1.3933151245712478,0.025464901993633774,True,True
0.1,0.48079528667689236,0.27211781280445885,0.43502918981684635,0.20448735879352428,0.10266835827530847,1.422894334139267,7.672788565305213e-05,15,0.44280442804428044,0.010638297872340425,-0.037135284914867554,1.0,2.2671808812612877,1.3271973967861936,0.02839671636790082,True,True
0.1,0.5272794741273746,0.30022868911559153,0.3677396819902368,0.185798564050901,0.10531115517216405,1.4849639590616193,5.013366384843715e-05,15,0.5682656826568265,0.06382978723404255,0.02633052933052562,1.0,2.4990513646583583,1.3886871134510832,0.028731780867817056,True,True
0.1,0.5391682377888299,0.3283693044216785,0.4374142105605094,0.1820595043188899,0.09656127133533397,1.3604459582377928,0.00011867348521891907,15,0.4354243542435424,0.010638297872340425,0.05362744610534301,1.0,2.2602715202601704,1.4009893366110444,0.03761099011559725,True,True
0.1,0.4559938707513887,0.2847206328653605,0.40249171566330494,0.20899144864922392,0.10740453335506116,1.4521383908387073,6.272552453899604e-05,15,0.4833948339483395,0.031914893617021274,-0.024355014190053755,1.0,2.3696199217865135,1.3123780778908705,0.01424024124643994,True,True
0.1,0.5093117442805091,0.3187339724235721,0.36756560735892363,0.20110743762321542,0.09200946899954077,1.4259957442743372,7.509941874626792e-05,15,0.5682656826568265,0.06382978723404255,-0.0058509085120559716,1.0,2.477367294540798,1.3383179852443652,0.0330876193667281,True,True
0.1,0.47015828656778935,0.2921524141385354,0.37379179695575687,0.19543187972574805,0.10212626015159379,1.4499975375454521,6.36538435093667e-05,15,0.5535055350553506,0.06382978723404255,-0.0010441707075109314,1.0,2.474780015548988,1.3569916585248851,0.02018763611995309,True,True
0.1,0.5085706361374256,0.31360078879863984,0.3693952659313166,0.1886418372345029,0.09028417011261129,1.4165387942519323,8.01810955035168e-05,15,0.5645756457564576,0.06382978723404255,0.013910770761149594,1.0,2.4923328016580317,1.379332199725062,0.0336739822415815,True,True
