network,location_idx,seed_node,alpha,beta,replicate,run_seed,a_idx,b_idx,extinct,RI,label,admissible,reason,Q,Q_peak_freq,Q_bandwidth,Q_bins_across,Q_n_segments,Q_resolution_limited,Q_undersegmented,Q_ceiling,peak_power_share,f0,harmonic_k,period,samples_per_cycle,n_cycles,freq_rel_uncertainty,freq_rel_tolerance,freq_precision_ok,c,cbar,r,Phi,Psi,g_s,g_w,mean_activity,cv_activity,ri_cat,q_ter,visual_rating
net_D,0,0,0.0056234132519034,0.25,6,76246,6,4,False,0.3236877204802449,ARRHYTHMIC,True,,1.5620281151695286,0.0234375,0.0150045314629028,3.841160054503125,10.0,False,False,2.0,0.3606141724880992,0.0262483184556174,1.0,38.0976785880921,38.0976785880921,39.37247768342619,0.0011626488826932,0.0063496130980153,True,0.4298899173720078,0.4787410986931337,0.064737544096049,1.3678317105518107,0.1618438602401224,0.1618438602401224,0.3236877204802449,398.67333333333335,0.1063679181862009,arrhythmic,Q-low,4.0
net_A,1,1023,0.0056234132519034,0.7,1,6331,6,13,False,0.1929937679268212,ARRHYTHMIC,True,,0.6532030931175601,0.01171875,0.0179404386223427,4.592752287319735,10.0,False,False,1.0,0.5206283000627476,0.0116536852802789,1.0,85.80976540461924,85.80976540461924,17.480527920418407,0.0026187062196233,0.0143016275674365,True,0.7437986742658694,0.7757401012780093,0.0385987535853642,2.216400289365741,0.0964968839634106,0.0964968839634106,0.1929937679268212,742.9693333333333,0.0740633000973074,arrhythmic,Q-low,3.0
net_E,2,6406,0.0074989420933245,1.0,2,111592,7,19,False,0.2933314944057983,ARRHYTHMIC,True,,0.5396987130714399,0.0078125,0.0144756691294275,3.705771297133443,10.0,False,False,0.6666666666666666,0.1244918062796791,0.0078854247834994,1.0,126.81624991116936,126.81624991116936,11.828137175249235,0.0038701248141836,0.0211360416518615,True,0.7419347509560316,0.76835662488778,0.0586662988811596,2.1953046425365144,0.1466657472028991,0.1466657472028991,0.2933314944057983,2640.268,0.0229380533256828,arrhythmic,Q-low,2.0
net_D,1,4317,0.0074989420933245,0.7,6,81536,7,13,False,0.3139753722454916,ARRHYTHMIC,True,,0.6873863966271174,0.0078125,0.0113655144156686,2.9095716904111626,10.0,True,False,0.6666666666666666,0.1179845266677515,0.0088930078101474,1.0,112.4478940476069,112.4478940476069,13.33951171522116,0.0034316373915895,0.0187413156746011,True,0.3577241072818826,0.7127506121100985,0.0627950744490983,2.036430320314567,0.1569876861227458,0.1569876861227458,0.3139753722454916,2266.250666666667,0.0253294738120454,arrhythmic,Q-low,3.0
net_E,2,6406,0.0074989420933245,0.45,2,111482,7,8,False,0.484603301008866,ARRHYTHMIC,True,,2.9391614950742735,0.05859375,0.0199355326674621,5.103496362870304,10.0,False,False,5.0,0.2206693228114787,0.0094413751220555,6.0,105.9167745240783,105.9167745240783,14.162062683083326,0.0032323234412865,0.017652795754013,True,0.2441273118315098,0.4064073633858197,0.0969206602017732,1.1611638953880563,0.242301650504433,0.242301650504433,0.484603301008866,1775.922,0.0310513924131111,arrhythmic,Q-mid,3.0
net_A,0,0,0.0074989420933245,0.65,9,1529,7,12,False,0.4881535492261413,ARRHYTHMIC,True,,2.816329322823169,0.02734375,0.0097090030552924,2.4855047821548792,10.0,True,False,2.3333333333333335,0.121450960656698,0.0096828250420271,3.0,103.27564483088588,103.27564483088588,14.524237563040671,0.0031517225595363,0.0172126074718143,True,0.1090146773615798,0.2495862191400593,0.0976307098452282,0.7131034832573123,0.2440767746130706,0.2440767746130706,0.4881535492261413,2173.8206666666665,0.0271253124817023,arrhythmic,Q-mid,3.0
net_D,3,15808,0.01,0.45,3,91683,8,8,False,0.4739869284646962,ARRHYTHMIC,True,,3.131578202490873,0.078125,0.0249474849256068,6.386556140955349,10.0,False,False,6.666666666666667,0.2349478064180007,0.0128470699447748,6.0,77.83876045656002,77.83876045656002,19.27060491716225,0.0023754504533862,0.01297312674276,True,0.2609970286139838,0.5544121585477112,0.0947973856929392,1.5840347387077465,0.2369934642323481,0.2369934642323481,0.4739869284646962,2670.222,0.0230332666102408,arrhythmic,Q-mid,3.0
net_E,1,4266,0.0177827941003892,0.25,5,107045,10,4,False,0.3749294566479846,ARRHYTHMIC,True,,4.4808512256164645,0.12109375,0.0270247200593767,6.918328335200439,10.0,False,False,10.333333333333334,0.3851376216596781,0.1239758996301144,1.0,8.066083835515835,8.066083835515835,185.96384944517172,0.0002461573436131,0.0013443473059193,True,0.0666611304114261,0.0937323641619961,0.4355621189415673,0.2678067547485604,1.0889052973539182,0.2678067547485604,0.3749294566479846,2592.99,0.024204686190269,arrhythmic,Q-mid,3.0
net_D,1,4317,0.0074989420933245,0.9,1,81571,7,17,False,0.9984763627496508,ARRHYTHMIC,True,,8.036697381858117,0.078125,0.0097210329427555,2.4885844333454195,10.0,True,False,6.666666666666667,0.0996766345231087,0.0253956595066789,3.0,39.37680766813725,39.37680766813725,38.09348926001849,0.0012016848043254,0.0065628012780228,True,0.1217626626143696,0.1768168530880401,0.1996952725499302,0.505191008822972,0.4992381813748254,0.4992381813748254,0.9984763627496508,2535.3786666666665,0.0234606327277568,arrhythmic,Q-high,5.0
net_A,1,1023,0.1,0.05,1,8201,16,0,False,0.806723859411398,ARRHYTHMIC,True,,6.946275980052291,0.12109375,0.0174329022267106,4.462822970037916,10.0,False,False,10.333333333333334,0.1766658827835543,0.0233213078575069,5.0,42.879241855130765,42.879241855130765,34.98196178626036,0.0013085706132547,0.0071465403091884,True,0.1828047394312777,0.1737205404539642,0.1613447718822796,0.4963444012970407,0.403361929705699,0.403361929705699,0.806723859411398,880.8666666666667,0.0442243400132128,arrhythmic,Q-high,5.0
net_E,4,16541,0.3162277660168379,0.05,2,124002,20,0,False,0.8090362676136527,ARRHYTHMIC,True,,14.47931924096749,0.1796875,0.0124099411726205,3.1769449401908716,10.0,False,False,15.333333333333334,0.064174891083009,0.0293693575006229,6.0,34.049093514517274,34.049093514517274,44.054036250934416,0.0010390958714147,0.0056748489190862,True,0.1272421675832786,0.1549387022991725,0.1618072535227305,0.4426820065690645,0.4045181338068263,0.4045181338068263,0.8090362676136527,905.1866666666666,0.0329129295915853,arrhythmic,Q-high,3.0
net_D,0,0,0.5623413251903491,0.4,5,79475,22,7,False,0.3854662552948385,ARRHYTHMIC,True,,16.325602865528833,0.28515625,0.0174668128551688,4.471504090923219,10.0,False,False,24.333333333333332,0.1090188547379455,0.069866570728437,4.0,14.31299675329535,14.31299675329535,104.79985609265565,0.0004367979966215,0.0023854994588825,True,0.0774773876887093,0.0963665638237096,0.3060203764282238,0.2753330394963132,0.7650509410705594,0.2753330394963132,0.3854662552948385,4444.095333333334,0.0131877883875541,arrhythmic,Q-high,2.0
net_A,4,18688,0.0056234132519034,0.45,7,21287,6,8,False,1.704063299752736,WEAKLY_RHYTHMIC,True,,1.1806109301307504,0.01171875,0.009926005003784,2.5410572809687233,10.0,True,False,1.0,0.3838168100252145,0.0075739308580513,1.0,132.03183640592115,132.03183640592115,11.360896287077097,0.0040292918825049,0.0220053060676535,True,0.9939138120883731,0.8447752502177579,0.3582445118343294,2.413643572050737,0.8956112795858235,0.8956112795858235,3.3791010008710316,580.1713333333333,0.0947295348592994,weak,Q-low,4.0
